问题来源,模块,严重度,问题现象描述,原因分析,改善对策,经验萃取,
PVT,器件,B,"1. 机器在低温-10℃无法正常开机,卡死在开机界面
2. 机器在低温运行时无法充电","电池温度保护策略:
1.-20°C~0°C的时候,电池最大的输出是0.2C,没有办法达到设备所需要的功耗
2.低温下电池仅能放电,不能充电",客户接受此现象，维持现有设计,DQE在项目物料选型时需确认电池单体的设计温度规格，评估是否符合整机环境可靠性测试的要求,
Lot0,器件,A,键盘灯丝印透光不均匀,"直接使用迭代项目的键芯,原始结构设计铝板背面的结构没有破孔,遮挡了镭雕字符,导致出现100%部分字体透光不均及不透光异常","1. 临时对策：针对目前已组装的成品物料，无解决方案；
2. 长期对策：将现有铝板结构、背光模组的导光点区域对应铝板字符的区域进行镂空处理","1，在项目物料选型时需要确认客户对键盘背光效果的标准
2，EVT需与客户确认实物效果，签实物样品，并将实物样品给到供应商及组装厂用作对比参考",
Lot0,结构,B,"屏幕黑边显示不均匀,左右黑边差达到1.0(标准0.5)","结构按照单一PANEL进行设计,因用不同PANEL组装,不同型号Panel存在尺寸上的差异,导致组装时屏偏位",在左侧和上侧增加限位硅胶,在选型不同LCD时，结构需确认LCD尺寸是否与A壳设计匹配,
Lot0,结构,C,插充电器转轴处透光,"之前试产一直用的黑色壳料,在转轴位置无漏光现象,所以未进行遮光处理,Lot0换成白色壳料后出现透光",主板增加遮光麦拉,对所有颜色的壳料均需关注壳料透光度，确认是否会影响指示灯透光,
Lot0,ID设计,A,"BC壳接触面B壳掉涂层,表现为B壳发黑,C壳有压痕",",",B壳过UV处理,"1. 产品ID设计时尽量选取带脚垫方案，规避BC壳盒盖产生压痕
2. 塑胶壳表面工艺，建议PU三涂，或者UV",
DVT,器件,B,"前壳外观效果差,浮纤严重","1、塑胶材料增加20%GF，成型后外观面易浮纤
2、外观面为高光面 且为全塑胶结构 ,浮纤容易显现出来
","
1.外观面更改多种材料仍然无法满足，已经重新嗮纹， 高光面更改为纹面。","
塑胶材质增加玻纤超20%以上时，表面不做高光面设计， 做纹面或者做表面工艺处理。",
DVT,结构,B,"卡座在试产中有出现不挂卡现象(SIM 卡插入无法锁住),不良率:6/400=1.5%",卡座V形槽轨道阶梯高度一般是10-15个司，底壳与卡座压紧没有空间，受压时卡座内滑块V形槽轨道出现损坏，弹簧在测卡时无法回位V形槽，导致出现无法挂卡现象。,"

1、电池盖T卡座位滑轨位置减胶0.3MM避开滑轨 
2、卡座滑轨不能被压紧 ，结构设计T卡座与底壳之间需要有0.3MM以上空间","

结构设计T卡座滑轨位置与底壳之间需要有0.3MM以上空间",
DVT,结构,B,黑屏及屏幕无法显示,FPC 未装好（前壳 LCD FPC穿孔壳体和LCD底部落差比较大，FPC 移位）,"1、壳体减胶0.4MM 减少落差
2、FPC 出线附近如果有台阶需要减少落差，或者做平滑过渡","
 FPC 出线附近如果有台阶需要减少落差，或者做平滑过渡，避免FPC 移位。",
DVT,结构,A,"生产Logan 10.1 Lite WIFI,外观位检出TP翘/搭边异常,不良比例15%.","

1、3D设计值间隙单边及R 角为0.08mm 偏小，壳料极下限及TP上限时候容易出现R 角搭边
2、  TP规格超出上限长0.01--0.03mm，宽0.01--0.07mm、R角位置多料0.01--0.17mm图纸未标示R角","
1、供应商用治具挑选下限TP产品使用
1、优化整机间隙值变更为 R角增加到0.13mm。","

优化整机TP间隙值设计  R角间隙增加到0.13mm。",
MP,结构,A,"机器单卡功能,卡托模具刻字为双卡100%","
1、卡托只有卡帽部分是新开的，卡身是共用的公模，字符是公模上自带的
2、测试未发现，试产未有提出","1、模具改模,安排重新签样。
2、测试及品质首件需要按照卡托是LOGO 装卡验证，如果标示SIM /SD两种卡都要验证
",模具开模时确认卡托字符与功能一致,
DVT,硬件,A,OBA全检:前摄像录像闪屏,"1、屏排线阻抗与摄像头不匹配
2、增加电磁膜阻抗偏小","
1、设计上屏排线与摄像头差分线阻抗要匹配 
2、如果排线增加电磁膜注意确认阻抗
3、已经生产产品可增强摄像头驱动力后已验证可解决摄像头界面闪屏问题
",屏排线与摄像头差分线阻抗要匹配,
EVT,结构,B,"耳机接口+/-Y、+/-Z 、X轴向测试5Kgf,拆机后发现耳机接口引脚松动和脱落现象,不满足客户要求",1、耳机座位置结构限制不能增加钢片加强结构,"1、安排点胶验证也只能满足到5Kgf
2、客户综合评估后接受",对于高要求推力达5 kg以上 需要预留加强钢片位置,
EVT,结构,B,雨淋测试75°不过,"1、产品按照IP52设计不满足客户要求，整机内从耳机座耳机孔处进水导致屏背光内进水，屏水印后屏内呈亮块不良现象。
","1、加大耳机座麦拉，满足IP52 15°雨淋测试
2、同类型产品摸底也不能满足向客户申请特采","1、对于防尘防水级别高要求外接IO口都要预留硅胶套位置
2、评估客户标准时候需要关注查看IP等级细节。 如：75雨淋°不属于常规IP52要求 ",
EVT,结构,B,粉尘试验:闪光灯及后摄进尘,"
1、后摄泡棉预压不够，后摄镜头无密封住，导致粉尘试验时粉尘进入后摄视窗区域。
2、闪光灯上表面没有背胶或者辅料密封导致有间隙","1、后摄使用厚度0.5mm的泡棉
将闪光灯罩上表面增加背胶0.1MM 

","1、有防尘设计要求时，后摄像头视窗设计需要可靠的密封结构，保证结构的预压量，尽量预留0.3mm的泡棉空间，使用厚度0.5mm的泡棉。
2、后闪光灯需要做密封结构，可以用背胶粘合或泡棉预压等密封方式闪光灯罩上表面需要增加辅料，建议尽量使用泡棉密封效果更好",
DVT,器件,B,"温度变化试验,电池失效",电池拆机检查保护板 C1电容表面UV胶未完全覆盖，外观确认有明显裂痕和热熔痕迹，故基本锁定漏电来C1电容受外力开裂，可靠性后面经高温高湿水蒸汽进入裂缝，造成C1短路 查询 电池为样品线生产未有CCD检查。,1、湿度要求≥95%电池设计上 保护板打胶由UV胶改成Underfill黑胶全覆盖 效果更好（主要防止水汽）,耐高湿电池设计上保护板打胶由UV胶改成Underfill黑胶全覆盖 效果更好（主要防止水汽，方便检查）,
DVT,结构,A,OTA天线试验数据不达标,"

天线装饰件点胶未避让天线走线部位，组装时胶水对天线造成挤压变形，影响OTA数据","天线在底壳与装饰件之间的这类方案是要避开天线点胶的，后续需要加入结构设计点检表，避免类似问题出现
","1、结构设计时天线贴合面需设计为平整面，不允许有凹槽和高度落差的台阶，开槽减胶优化缩水需避开天线贴合面位置
2、针对天线位置任何修改和工艺变更都要与天线工程师详细认真确认，要求天线工程师出评估报告。",
PVT,结构,A,"实测带皮套数据,对比不带皮套的OTA数据,GAP最大偏差有4dbm左右","皮套的材质与其厚度对天线性能会有不同程度的影响；（一般手机 套厚度1.0mm， 平板厚度较厚1.8mm）
皮套未及时提供给RF验证，致皮套改善方案未及时整改导入；
","1、对GSM900传导做功率提升，即目标功率32.5dbm，提升至33dbm；

2、对皮套内侧面做局部CNC减薄处理，即由1.8mm厚，局部CNC减薄至1.1~1.2mm厚","1、皮套整体需要尽量做薄
2、天线区域部分，皮套需要做筋骨支撑，做适当避空的方案；
3、皮套评审需要 结构设计RF/ID一起参与评审；
ID方案确认后，启动手板打样，样品RF测试，输出测试结果",
DVT,结构,A,雨淋测试:音量+键失灵,实验试验过程中，按键有进水。按键分析时发现麦拉胶防水位置偏窄，图纸要求0.31、对该位置进行测二次元测量尺寸（实际在0.177）。,1、锅仔麦拉设计要把包边麦拉到外形边位置延长大于1.5MM、反包边做全包。,锅仔麦拉设计要把包边麦拉到外形边位置延长大于1.5MM、反包边做全包，有利于防水。,
DVT,结构,A,组装钢片扣位易脱落(BTB保压钢片的一端固定桥易掉)不良率：7.11%,"1.焊盘面积小；
2.EVT板子人工焊接，PCBA吃锡面小。","1.钢片吃锡焊盘面积加大;
2.加大PCBA焊点接触面。
3.增大PCBA焊盘面积，由0.45mm加大到0.75mm；",凡是基于PCBA固定桥设计需充分评估焊盘面积,
DVT,结构,B,按键FPC加工定位存在偏移不精确、不良100%,按键FPC定位不精确，设计无定位孔,"1.修改按键FPC板外形与壳料贴合平行；
2.增加按键板定位柱；
",基于按键FPC板设计要考虑固定柱或增加壳料定位基准,
DVT,结构,B,"喇叭导线焊点与喇叭太近,烙铁头容易烫到喇叭及边框",空间过于紧凑,"加大喇叭导线焊点与喇叭本体距离
PCB硬件改喇叭焊盘位置加大与喇叭本体的距离(勿靠太近）。",焊线式喇叭-PCB焊盘与喇叭本体应预留足够的距离(考量到作业员可操作性）,
DVT,结构,B,6/30接HMD客户QPM反馈收到样机摄像头镜片方向与在DVT2产线看到摄像头镜片方向不一致。经排查做可靠性测试样机130PCS摄像头镜片方向错误,"1.设计上无防呆
2.检验文件及SOP中没有要求检验内容","1、摄像头镜片设计呈对称结构，安装时结构不防呆，存在装反风险
2、华辉模厂及TCL制作不良图示做外观检查",凡是带有摄像头镜片设计成对称结构、设计产品、做防呆防错法设计,
DVT,结构,B,组装时小板FPC座子垫片会压到喇叭导线,喇叭导线没有线位槽,喇叭导线需要预留线位槽，便于走线。,基于有导线的本体器件设计时要预留线位槽便于走线。,
售后,结构,A,转轴断裂,"技术根因：
1、转轴固定支架折断力设计标准（SPEC：12kgf.cm）不满足整机系统需求。
2、转轴的材质选型,锌合金材质压铸成型的固定支架强度不足；
3、固定支架开孔过多导致强度减弱
管理根因：
1、研发阶段可靠性测试的样本数量少，无法充分暴露此风险问题；
2、此项目针对转轴可靠性标准要求摇摆20000万次，标准要求不足；
3、项目量产阶段未安排ORT例行可靠性测试，无法提前暴露此问题。
4、此项目研发时未有效进行风险识别，未识别到锌合金强度不足及开孔过多问题。
","短期方案：
转轴锌合金支架修模增加受力强度，锌合金固定支架整体加长加宽：（左转轴由30*13.4mm增加到30.2*13.6mm；右转轴由30.9*13.4mm增加到31.1*13.6mm）；靠近转轴位2个螺丝孔缩小（直径5.5减少为5.3mm）
长期方案：
a.转轴选型方面选择抗断抗破坏性强的材质，比如钣金件
b.研发阶段可靠性测试增加样本数量，原测试2pcs,增加到4pcs,同步增加极限测试用例 标准25000次，极限40000测试摸底；
c.如果有转轴外观上面需求必须选择锌合金，前期设计的强度的余量设计上要充足；
","经验提炼：
1.设计前期将转轴强度加入的设计风险评估checklist
2.后续新项目在转轴选型上面，转轴材质选用钣金材质（目前除X1项目是锌合金外，全部采用的是钣金材质）
3.将转轴测寿命测试作为ORT例行测试项并按照每20K或每2个月执行抽测；
",
售后,物料,A,SSD不读盘,"分析结论
SSD主控抗应力应变性能不足：江波龙SSD主控尺寸大，且又无点胶加固，主控位置在运输及长时间使用过程中内应力不断产生与释放，最终导致主控焊锡锡裂，从而导致SSD产生不良；
","改善方案：主控及FLASH器件四角增加打胶工艺，增强器件位置强度；
验证结果：通过加严后的bending测试，同步对比验证，打胶验证OK；
验证条件:  江波龙采用的是行业内最严的bending 23N测试的基础上加严到30N；",,
MP,物料,A,"指纹识别模块失效,不良率:13/123=10.57%","1.供应商出货时出货数量不足从仓库直接领料出货，仓库库存物料为Windows测试工具测试。
2.windows系统设计，用windows用户测试工具测试后，再用在其他系统上将无法识别和使用。
","1. 更新工厂的指纹测试工具，后续此款指纹芯片的一律使用   FPSensorTest_FT9368测试工具；           
2.后续订单少数，拿库存产品补数，须经过品质人员确认，才能出货",后续国产化平台开发阶段，需将相关信息传递给指纹模块供应商。,
MP,物料,A,"OQC抽检发现,不插电源不开机现象1/8=12.5%","1.产生原因：硬件分析怀疑二级管CR9虚焊导致，维修前可100%复现。二级管重焊后重复测试30次，未发现异常。
2.流出原因：前期SMT及组装测试时为先插电源再开机，开机后再拔电源机单独电池供电机器不会关机，导致此不良未能拦截出。","1.将此异常反馈给SMT厂商，生产时重点关注。
2.后续SMT及组装段更改测试流程，要求测试时需先电池供电开机，再接入电源测试其他项目。",笔电测试SMT及组装段测试流程，要求测试时需先电池供电开机，再接入电源测试其他项目。,
MP,软件,A,"产测工具测试电池容量异常,设计容量67.56Wh,测试时容量不足,不良率3%",该现象是在拔插电池后不接适配器开机时概率出现，是由于电池初始化时概率性读不到电池设计容量，,优化EC，新EC中在电量计初始化过程中增加了确认电池设计容量的功能，可确保开机时已读到正确的设计容量。,EC设计时，在电量计初始化过程中增加侦测电池设计容量的功能，以保证产测工具测试容量正常,
EVT,结构,A,"EVT阶段客户反馈样机有严重漏光问题,经DVT试产确认,漏光问题为100%","1. 此项目屏选型为IPS屏，受到外力后极易出现漏光现象
2. 屏单体来料已出现漏光，DVT试产时收集数据约52%超出ND8%标准
3. EVT/DVT阶段使用夹子进行保压，存在胶路保压不均导致屏粘接力不均的风险
4. 屏组件采用点胶工艺，点胶、保压制程的波动会导致屏受力不均匀产生漏光","1. 拉通屏厂分析单体设计，通过变更粘LCD面的双面胶为门字型改善单体漏光效果
2. 调整屏下支撑泡棉尺寸及位置，使屏与A壳受力更均匀
3. 增加保压盒治具，以保证胶水固化时处于均匀状态
4. A壳点胶面内侧增加塑胶骨位，防止胶水溢到内侧屏上，同时平衡玻璃受压时的压力
5. 将点胶方案变更为泡棉胶方案","1. 若项目选型IPS屏，需在结构评审阶段提出避免用点胶方案，按现有物料公差管控及制程能力管控，很难保证一致性，会导致漏光无法彻底改善
2. 若因ID/结构受限必须要采用点胶方案，需提前验证如下对策：①将IPS屏更换为更耐外力的屏，如led屏；②评估增加玻璃盖板厚度以增加屏的强度，≤0.5基本无法满足要求；③需在EVT阶段开始进行治具验证，避免治具验证不充分导致影响试产/量产进度",
DVT,结构,A,"Zero项目DVT阶段可靠性测试时,客户反馈振动测试后A壳脱胶,2F/2T,不良率100%","1. 排查壳料达因值符合要求
2. 排查点胶胶路、胶路压合符合要求
3. 进一步排查振动不良机器为做完温度变化后进行测试，分析环测后胶水粘性下降",A壳五金与塑胶bonding区域增加镭雕以加强粘性，经验证效果ok,对于环测/机械测试要求高的项目，在结构评审阶段需要求五金与塑胶bonding区域增加镭雕以增加粘合力,
DVT,结构,B,"DVT阶段跌落试验后转轴盖变形造成D壳干涉外突,转轴盖左侧卡扣松间隙0.3mm","1.转轴盖卡扣松，扣合量不足
2. C壳变形内凹，结构强度受限","1. 转轴盖扣合量由0.35改到0.5
2. 针对C壳变形内凹，增加一个塑胶件bonding在转轴处支撑","1. 未避免转轴盖制程/可靠性松脱，需在设计前期评估转轴盖扣合量（参考值：0.5）
2. 对于有跌落要求的产品，需在不影响结构干涉的前提下增加塑胶骨位以增加五金强度，尤其是转轴位置",
DVT,结构,A,"DVT阶段客户反馈送测的样机测试后屏不显示,连HDMI也无显示","1. 电源5V短路，再次定位为风扇电源对地短路，风扇拔掉就正常了
2. 通过单体测试，功能、噪音及转速、电流都没有问题都在规格内，但出现导线压破皮现象
3. 反向验证，将正常机器的风扇故意弄破，不良现象复现","1. C壳风扇出线槽单边加大1.0
2. 风扇出线口位置左右侧加刻度线，保证线材出线位置不偏斜",结构评审阶段需确认风扇出线在极限情况是否会与C壳干涉，可以通过以下两个方案增加余量：①增加C壳出线槽宽度；②规范风扇出线位置要求（如缩小刻度线范围、醋酸胶布外移至与风扇边缘相切），尽量缩小cable线活动范围,
PVT,ESD,A,客户PVT反馈ESD测试时8kv耳机接口卡死,"1. 导电海棉的阻抗全部不达标（10-30Ω），我们要求是0.5欧以下；
2. C壳有一个TyPe-C底下没有镭雕，影响到贴上去导电海棉不导通","1. 要求壳料全部按要求增加镭雕
2. 将不良物料退供应商，重新取阻值合格物料进行复测确认","1. 壳料若来料自带导电泡棉会遮住镭雕区域，在研发阶段需仔细检查壳料是否有漏镭雕
2. 制定导电泡棉阻值管控方案，放置后续出现批量ESD不良",
PVT,结构,A,PVT机器出现摄像头打不开问题,摄像头排线表面有贴装元器件，需要用美纹胶纸贴附元器件上防护，PVT制程有漏贴的导致出现不良,后续已要求排线来料增加绝缘麦拉胶纸覆盖元器件,对于产品使用的排线（摄像头、屏、指纹、小板等），若表面有元器件裸露，需增加绝缘胶纸进行防护，避免发生短路问题,
EVT,结构,A,"EVT发现测试机器接TypeC适配器一面能充电,另外一面无法充电,不良率6F/11T",D壳导电泡棉影响，导致typeC与D壳短路,"1. 增加绝缘麦拉胶纸
2. BYD测试工具可以同时测试两面功能，有防呆效果","1. 针对主板/小板上的绝缘麦拉，需有明确的定位或限位标志，避免员工未贴附到位导致出现不良
2. 针对typeC接口，需评估双面测试方式，避免出现单侧不读不良流出",
PVT,物料,A,"TP划线断线不良,不良率75%","1.TP供应商中升鸿为PVT临时导入，未经过研发及试产小批量验证。
3.不良品退回供应商镜检发现为银浆批量异常导致。","1.更换供应商，重新使用之前供应商晶冠宇.
2.客户端机器全部退回重工TP.",新供应商导入时需研发确认及小批量试产，无问题再批量导入,
PVT,软件,A,面壳更换喷涂工艺后触摸灯失效,为改善喷涂遮光效果，壳料加喷2层油漆以达到ID效果，油漆带金属粉，多喷一层后造成干扰导致触摸灯条功能失效。,"1.ID现场跟进新面壳喷涂效果，测试确认面壳效果不影响触摸效果再生产。
2.异常机器重新更换面壳",对应产品表面处理工艺对产品功能有影响时，需测试/硬件等部门评估确认。,
PVT,软件,A,"联网后机器时间不同步,导致机器语音唤醒概率性失效","1.NTP服务器设定为欧洲服务器，延时严重
2.语音唤醒由语音算法商做绑定需要校验系统时间，系统部分未及时检验成功会出错","1、NTP服务器设定为国内阿里服务器，避免延时
2、增加服务器连接失败后重连机制
3、缩短服务器连接的时间","语音交互设备需考量以下点：
1、NTP服务器考量国内阿里服务器，避免延时
2、增加服务器连接失败后重连机制
3、缩短服务器连接的时间",
PVT,软件,A,测试工具不能识别单MIC功能不良,1、双MIC数据是通过深聪处理输出,1、调用客户实现的深聪SMIC的数据,,
PVT,软件,A,"触摸灯滑动过程中或停顿一段时间后再触摸偶现无触,getevent无报点,示波器无波形,再次触摸几次易恢复正常.","1.干扰较大影响滑条触摸值，导致边缘不灵敏
2.休眠唤醒时间过长，未自动切换刷新base","1.更改点线稳定值，增加射频抗干扰处理。
2.打开monitor mode自动切换及时刷新base值，",触摸灯条灯新器件使用时，内部无法通过常规结构/软硬件优化时需尽早要求供应商FAE介入分析。,
PVT,硬件,A,ESD测试时机器死机花屏,产品底部固定螺丝离主板太进，对螺丝放电会电击到主板,主板加接地将静电引至86盒,对于中控产品ESD测试过时，可考量主板加接地将静电引至86盒,
PVT,结构,A,可靠性测试，高温存储后机器壳料变形,一体机机器自身重量较重，高温存储时，壳料受热强度变化,塑胶原料更换由ABS变更为ABS+PC，重新测试OK.,"对于大体积大重量产品，结构设计时需考量高温条件下材料强度,结构设计时要加强",
PVT,结构,A,一体机供应商提供结构间隙标准过严,此产品结构为供应商设计，供应商对装配经验不足，定义结构间隙段差标准过严格,结合试产测试数据及结构配合，与结构重新定义标准,"对于模厂设计结构产品,相关结构间隙段差标准制定时需参考实际测试数据与结构设计定义.",
PVT,测试,A,给客户测试用例中遗漏异常掉电测试,之前笔电产品中此项测试并未在每个阶段的测试中都测试，最终版的测试报告中漏测此项,按照客户要求重新安排补测，提供报告,"对于无内置电池产品,需重点考量异常掉电测试.",
